Acc	Name	Desc	Status
PF06052.15	3-HAO	3-hydroxyanthranilic acid dioxygenase	included
PF12578.11	3-PAP	Myotubularin-associated protein	not_in_edm
PF17644.4	30K_MP_core	Core domain of 30K viral movement proteins	
PF11330.11	30K_MP_C_Ter	C-Terminal of 30K viral movement proteins	not_in_edm
PF00803.21	3A	3A/RNA2 movement protein family	not_in_edm
PF01073.22	3Beta_HSD	3-beta hydroxysteroid dehydrogenase/isomerase family	included
PF06725.14	3D	3D domain	not_in_edm
PF02829.17	3H	3H domain	not_in_edm
PF10605.12	3HBOH	3HB-oligomer hydrolase (3HBOH)	included
PF00725.25	3HCDH	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	included
PF02737.21	3HCDH_N	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	included
PF18321.4	3HCDH_RFF	3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain	
PF06439.14	3keto-disac_hyd	3-keto-disaccharide hydrolase	not_in_edm
PF16121.8	40S_S4_C	40S ribosomal protein S4 C-terminus	not_in_edm
PF16122.8	40S_SA_C	40S ribosomal protein SA C-terminus	not_in_edm
PF04419.17	4F5	4F5 protein related disordered region	not_in_edm
PF17947.4	4HB	Four helical bundle domain	
PF03061.25	4HBT	Thioesterase superfamily	included
PF13279.9	4HBT_2	Thioesterase-like superfamily	included
PF13622.9	4HBT_3	Thioesterase-like superfamily	not_in_edm
PF12729.10	4HB_MCP_1	Four helix bundle sensory module for signal transduction	not_in_edm
PF04476.16	4HFCP_synth	4-HFC-P synthase	not_in_edm
PF18671.4	4HPAD_g_N	4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal	
PF17837.4	4PPT_N	4'-phosphopantetheinyl transferase N-terminal domain	
PF05902.16	4_1_CTD	4.1 protein C-terminal domain (CTD)	not_in_edm
PF01812.23	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	included
PF06189.15	5-nucleotidase	5'-nucleotidase	included
PF09038.13	53-BP1_Tudor	Tumour suppressor p53-binding protein-1 Tudor	not_in_edm
PF03491.16	5HT_transport_N	Serotonin (5-HT) neurotransmitter transporter, N-terminus	not_in_edm
PF07694.15	5TM-5TMR_LYT	5TMR of 5TMR-LYT	manual_discard
PF01367.23	5_3_exonuc	5'-3' exonuclease, C-terminal SAM fold	auto_discard
PF02739.19	5_3_exonuc_N	5'-3' exonuclease, N-terminal resolvase-like domain	auto_discard
PF05761.17	5_nucleotid	5' nucleotidase family	auto_discard
PF02872.21	5_nucleotid_C	5'-nucleotidase, C-terminal domain	included
PF02096.23	60KD_IMP	60Kd inner membrane protein	not_in_edm
PF01591.21	6PF2K	6-phosphofructo-2-kinase	included
PF00393.22	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain	included
PF02294.21	7kD_DNA_binding	7kD DNA-binding domain	not_in_edm
PF07698.14	7TM-7TMR_HD	7TM receptor with intracellular HD hydrolase	not_in_edm
PF07696.14	7TMR-DISMED2	7TMR-DISM extracellular 2	not_in_edm
PF07695.14	7TMR-DISM_7TM	7TM diverse intracellular signalling	not_in_edm
PF07697.14	7TMR-HDED	7TM-HD extracellular	not_in_edm
PF00001.24	7tm_1	7 transmembrane receptor (rhodopsin family)	not_in_edm
PF00002.27	7tm_2	7 transmembrane receptor (Secretin family)	not_in_edm
PF00003.25	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR	not_in_edm
PF13853.9	7tm_4	Olfactory receptor	not_in_edm
PF02949.23	7tm_6	7tm Odorant receptor	not_in_edm
PF08395.15	7tm_7	7tm Chemosensory receptor	not_in_edm
PF02117.19	7TM_GPCR_Sra	Serpentine type 7TM GPCR chemoreceptor Sra	not_in_edm
PF10292.12	7TM_GPCR_Srab	Serpentine type 7TM GPCR receptor class ab chemoreceptor	not_in_edm
PF02175.19	7TM_GPCR_Srb	Serpentine type 7TM GPCR chemoreceptor Srb	not_in_edm
PF10316.12	7TM_GPCR_Srbc	Serpentine type 7TM GPCR chemoreceptor Srbc	not_in_edm
PF10317.12	7TM_GPCR_Srd	Serpentine type 7TM GPCR chemoreceptor Srd	not_in_edm
PF10318.12	7TM_GPCR_Srh	Serpentine type 7TM GPCR chemoreceptor Srh	not_in_edm
PF10327.12	7TM_GPCR_Sri	Serpentine type 7TM GPCR chemoreceptor Sri	not_in_edm
PF10319.12	7TM_GPCR_Srj	Serpentine type 7TM GPCR chemoreceptor Srj	not_in_edm
PF10320.12	7TM_GPCR_Srsx	Serpentine type 7TM GPCR chemoreceptor Srsx	not_in_edm
PF10321.12	7TM_GPCR_Srt	Serpentine type 7TM GPCR chemoreceptor Srt	not_in_edm
PF10322.12	7TM_GPCR_Sru	Serpentine type 7TM GPCR chemoreceptor Sru	not_in_edm
PF10323.12	7TM_GPCR_Srv	Serpentine type 7TM GPCR chemoreceptor Srv	not_in_edm
PF10324.12	7TM_GPCR_Srw	Serpentine type 7TM GPCR chemoreceptor Srw	not_in_edm
PF10328.12	7TM_GPCR_Srx	Serpentine type 7TM GPCR chemoreceptor Srx	not_in_edm
PF10325.12	7TM_GPCR_Srz	Serpentine type 7TM GPCR chemoreceptor Srz	not_in_edm
PF10326.12	7TM_GPCR_Str	Serpentine type 7TM GPCR chemoreceptor Str	not_in_edm
PF14402.9	7TM_transglut	7 transmembrane helices usually fused to an inactive transglutaminase	not_in_edm
PF17028.8	8TM_micro	8TM Microsporidial transmembrane domain	not_in_edm
PF07388.14	A-2_8-polyST	Alpha-2,8-polysialyltransferase (POLYST)	not_in_edm
PF07966.15	A1_Propeptide	A1 Propeptide	not_in_edm
PF08792.13	A2L_zn_ribbon	A2L zinc ribbon domain	not_in_edm
PF00207.25	A2M	Alpha-2-macroglobulin family	not_in_edm
PF07703.17	A2M_BRD	Alpha-2-macroglobulin bait region domain	not_in_edm
PF07677.17	A2M_recep	A-macroglobulin receptor binding domain	not_in_edm
PF03443.17	AA9	Auxiliary Activity family 9 (formerly GH61)	included
PF00004.32	AAA	ATPase family associated with various cellular activities (AAA)	auto_discard
PF09820.12	AAA-ATPase_like	Predicted AAA-ATPase	not_in_edm
PF12846.10	AAA_10	AAA-like domain	not_in_edm
PF13086.9	AAA_11	AAA domain	not_in_edm
PF13087.9	AAA_12	AAA domain	not_in_edm
PF13166.9	AAA_13	AAA domain	not_in_edm
PF13173.9	AAA_14	AAA domain	not_in_edm
PF13175.9	AAA_15	AAA ATPase domain	not_in_edm
PF13191.9	AAA_16	AAA ATPase domain	not_in_edm
PF13207.9	AAA_17	AAA domain	not_in_edm
PF13238.9	AAA_18	AAA domain	not_in_edm
PF13245.9	AAA_19	AAA domain	not_in_edm
PF07724.17	AAA_2	AAA domain (Cdc48 subfamily)	auto_discard
PF13304.9	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	auto_discard
PF13401.9	AAA_22	AAA domain	not_in_edm
PF13476.9	AAA_23	AAA domain	not_in_edm
PF13479.9	AAA_24	AAA domain	not_in_edm
PF13481.9	AAA_25	AAA domain	not_in_edm
PF13500.9	AAA_26	AAA domain	not_in_edm
PF13514.9	AAA_27	AAA domain	not_in_edm
PF13521.9	AAA_28	AAA domain	not_in_edm
PF13555.9	AAA_29	P-loop containing region of AAA domain	not_in_edm
PF07726.14	AAA_3	ATPase family associated with various cellular activities (AAA)	not_in_edm
PF13604.9	AAA_30	AAA domain	not_in_edm
PF13614.9	AAA_31	AAA domain	auto_discard
PF13654.9	AAA_32	LonB-like, AAA domain	not_in_edm
PF13671.9	AAA_33	AAA domain	auto_discard
PF13872.9	AAA_34	P-loop containing NTP hydrolase pore-1	not_in_edm
PF14516.9	AAA_35	AAA-like domain	not_in_edm
PF07728.17	AAA_5	AAA domain (dynein-related subfamily)	auto_discard
PF12774.10	AAA_6	Hydrolytic ATP binding site of dynein motor region	not_in_edm
PF12775.10	AAA_7	P-loop containing dynein motor region	not_in_edm
PF12780.10	AAA_8	P-loop containing dynein motor region D4	not_in_edm
PF12781.10	AAA_9	ATP-binding dynein motor region	not_in_edm
PF14363.9	AAA_assoc	Domain associated at C-terminal with AAA	not_in_edm
PF16193.8	AAA_assoc_2	AAA C-terminal domain	not_in_edm
PF09821.12	AAA_assoc_C	C-terminal AAA-associated domain	not_in_edm
PF17857.4	AAA_lid_1	AAA+ lid domain	
PF17872.4	AAA_lid_10	AAA lid domain	
PF18198.4	AAA_lid_11	Dynein heavy chain AAA lid domain	
PF17863.4	AAA_lid_2	AAA lid domain	
PF17862.4	AAA_lid_3	AAA+ lid domain	
PF17864.4	AAA_lid_4	RuvB AAA lid domain	
PF17865.4	AAA_lid_5	Midasin AAA lid domain	
PF17866.4	AAA_lid_6	AAA lid domain	
PF17867.4	AAA_lid_7	Midasin AAA lid domain	
PF17868.4	AAA_lid_8	AAA lid domain	
PF17871.4	AAA_lid_9	AAA lid domain	
PF08298.14	AAA_PrkA	PrkA AAA domain	not_in_edm
PF18280.4	AadA_C	Aminoglycoside adenyltransferase C-terminal domain	
PF04611.15	AalphaY_MDB	Mating type protein A alpha Y mating type dependent binding region	not_in_edm
PF03306.16	AAL_decarboxy	Alpha-acetolactate decarboxylase	included
PF05282.14	AAR2	AAR2 protein	not_in_edm
PF08142.15	AARP2CN	AARP2CN (NUC121) domain	not_in_edm
PF03417.19	AAT	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	included
PF07247.15	AATase	Alcohol acetyltransferase	included
PF13339.9	AATF-Che1	Apoptosis antagonizing transcription factor	not_in_edm
PF00696.31	AA_kinase	Amino acid kinase family	included
PF00324.24	AA_permease	Amino acid permease	not_in_edm
PF13520.9	AA_permease_2	Amino acid permease	not_in_edm
PF13906.9	AA_permease_C	C-terminus of AA_permease	not_in_edm
PF08403.13	AA_permease_N	Amino acid permease N-terminal	not_in_edm
PF06684.14	AA_synth	Amino acid synthesis	not_in_edm
PF01490.21	Aa_trans	Transmembrane amino acid transporter protein	not_in_edm
PF14108.9	ABA4-like	ABA DEFICIENT 4-like	not_in_edm
PF07336.14	ABATE	Putative stress-induced transcription regulator	not_in_edm
PF12430.11	ABA_GPCR	Abscisic acid G-protein coupled receptor	not_in_edm
PF02496.19	ABA_WDS	ABA/WDS induced protein	not_in_edm
PF14156.9	AbbA_antirepres	Antirepressor AbbA	not_in_edm
PF00950.20	ABC-3	ABC 3 transport family	not_in_edm
PF03109.19	ABC1	ABC1 atypical kinase-like domain	not_in_edm
PF01061.27	ABC2_membrane	ABC-2 type transporter	not_in_edm
PF12679.10	ABC2_membrane_2	ABC-2 family transporter protein	not_in_edm
PF12698.10	ABC2_membrane_3	ABC-2 family transporter protein	not_in_edm
PF12730.10	ABC2_membrane_4	ABC-2 family transporter protein	not_in_edm
PF13346.9	ABC2_membrane_5	ABC-2 family transporter protein	not_in_edm
PF06182.14	ABC2_membrane_6	ABC-2 family transporter protein	not_in_edm
PF19055.3	ABC2_membrane_7	ABC-2 type transporter	
PF09818.12	ABC_ATPase	ATPase of the ABC class	not_in_edm
PF09819.12	ABC_cobalt	ABC-type cobalt transport system, permease component	not_in_edm
PF16962.8	ABC_export	Putative ABC exporter	not_in_edm
PF00664.26	ABC_membrane	ABC transporter transmembrane region	auto_discard
PF06472.18	ABC_membrane_2	ABC transporter transmembrane region 2	auto_discard
PF13748.9	ABC_membrane_3	ABC transporter transmembrane region	not_in_edm
PF20446.1	ABC_N	ATPase of the ABC class N-terminal	
PF04392.15	ABC_sub_bind	ABC transporter substrate binding protein	not_in_edm
PF20220.1	ABC_toxin_N	ABC toxin N-terminal region	
PF00005.30	ABC_tran	ABC transporter	auto_discard
PF09822.12	ABC_transp_aux	ABC-type uncharacterized transport system	not_in_edm
PF03886.16	ABC_trans_aux	ABC-type transport auxiliary lipoprotein component	not_in_edm
PF06541.14	ABC_trans_CmpB	Putative ABC-transporter type IV	not_in_edm
PF14510.9	ABC_trans_N	ABC-transporter N-terminal	not_in_edm
PF16949.8	ABC_tran_2	Putative ATP-binding cassette	not_in_edm
PF16326.8	ABC_tran_CTD	ABC transporter C-terminal domain	not_in_edm
PF12848.10	ABC_tran_Xtn	ABC transporter	not_in_edm
PF12407.11	Abdominal-A	Homeobox protein	not_in_edm
PF05270.16	AbfB	Alpha-L-arabinofuranosidase B (ABFB) domain	included
PF18225.4	AbfS_sensor	Sensor histidine kinase (AbfS) sensor domain	
PF03806.16	ABG_transport	AbgT putative transporter family	not_in_edm
PF09752.12	ABHD18	Alpha/beta hydrolase domain containing 18	not_in_edm
PF00561.23	Abhydrolase_1	alpha/beta hydrolase fold	included
PF20091.2	Abhydrolase_10	Alpha/beta hydrolase domain	
PF20408.1	Abhydrolase_11	Alpha/beta hydrolase domain	
PF02230.19	Abhydrolase_2	Phospholipase/Carboxylesterase	included
PF07859.16	Abhydrolase_3	alpha/beta hydrolase fold	included
PF08386.13	Abhydrolase_4	TAP-like protein	included
PF12695.10	Abhydrolase_5	Alpha/beta hydrolase family	included
PF12697.10	Abhydrolase_6	Alpha/beta hydrolase family	included
PF12715.10	Abhydrolase_7	Abhydrolase family	not_in_edm
PF06259.15	Abhydrolase_8	Alpha/beta hydrolase	included
PF10081.12	Abhydrolase_9	Alpha/beta-hydrolase family	not_in_edm
PF15420.9	Abhydrolase_9_N	Alpha/beta-hydrolase family N-terminus	not_in_edm
PF04083.19	Abhydro_lipase	Partial alpha/beta-hydrolase lipase region	included
PF08843.14	AbiEii	Nucleotidyl transferase AbiEii toxin, Type IV TA system	not_in_edm
PF09407.13	AbiEi_1	AbiEi antitoxin C-terminal domain	not_in_edm
PF09952.12	AbiEi_2	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	not_in_edm
PF11459.11	AbiEi_3	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	not_in_edm
PF17194.7	AbiEi_3_N	Transcriptional regulator, AbiEi antitoxin N-terminal domain	not_in_edm
PF13338.9	AbiEi_4	Transcriptional regulator, AbiEi antitoxin	not_in_edm
PF10899.11	AbiGi	Putative abortive phage resistance protein AbiGi, antitoxin	not_in_edm
PF16873.8	AbiGii_2	Putative abortive phage resistance protein AbiGii toxin	not_in_edm
PF20578.1	aBig_2	Atrophied bacterial Ig domain	
PF14253.9	AbiH	Bacteriophage abortive infection AbiH	not_in_edm
PF18860.4	AbiJ_NTD3	AbiJ N-terminal domain 3	
PF18863.4	AbiJ_NTD4	AbiJ N-terminal domain 4	
PF18865.4	AbiJ_NTD5	AbiJ N-terminal domain 5	
PF18864.4	AbiTii	AbiTii	
PF07751.14	Abi_2	Abi-like protein	not_in_edm
PF14337.9	Abi_alpha	Abortive infection alpha	not_in_edm
PF14355.9	Abi_C	Abortive infection C-terminus	not_in_edm
PF07815.17	Abi_HHR	Abl-interactor HHR	not_in_edm
PF16182.8	AbLIM_anchor	Putative adherens-junction anchoring region of AbLIM	not_in_edm
PF03992.19	ABM	Antibiotic biosynthesis monooxygenase	included
PF09441.13	Abp2	ARS binding protein 2	not_in_edm
PF05145.15	AbrB	Transition state regulatory protein AbrB	not_in_edm
PF14250.9	AbrB-like	AbrB-like transcriptional regulator	not_in_edm
PF18277.4	AbrB_C	AbrB C-terminal domain	
PF07280.14	Ac110_PIF	Per os infectivity factor AC110	not_in_edm
PF20520.1	Ac45-VOA1_TM	V0 complex accessory subunit Ac45/VOA1 transmembrane domain	
PF05814.14	Ac76	Orf76 (Ac76)	not_in_edm
PF05820.14	Ac81	Baculoviridae AC81	not_in_edm
PF08900.14	AcaB	Transcriptional regulator AcaB	not_in_edm
PF16177.8	ACAS_N	Acetyl-coenzyme A synthetase N-terminus	not_in_edm
PF13000.10	Acatn	Acetyl-coenzyme A transporter 1	not_in_edm
PF00887.22	ACBP	Acyl CoA binding protein	included
PF05528.14	Acc5b_avian_CoV	Accessory protein 5b, avian coronavirus	not_in_edm
PF03255.17	ACCA	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit	included
PF08326.15	ACC_central	Acetyl-CoA carboxylase, central region	included
PF13822.9	ACC_epsilon	Acyl-CoA carboxylase epsilon subunit	not_in_edm
PF16671.8	ACD	Actin cross-linking domain	not_in_edm
PF14733.9	ACDC	AP2-coincident C-terminal	not_in_edm
PF09317.14	ACDH_C	Acyl-CoA dehydrogenase, C-terminal, bacterial type	not_in_edm
PF06315.14	AceK_kinase	Isocitrate dehydrogenase kinase/phosphatase (AceK) kinase domain	included
PF20423.1	AceK_regulatory	Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain	
PF00871.20	Acetate_kinase	Acetokinase family	included
PF09290.14	AcetDehyd-dimer	Prokaryotic acetaldehyde dehydrogenase, dimerisation	included
PF08882.14	Acetone_carb_G	Acetone carboxylase gamma subunit	included
PF02550.18	AcetylCoA_hydro	Acetyl-CoA hydrolase/transferase N-terminal domain	not_in_bgc
PF13336.9	AcetylCoA_hyd_C	Acetyl-CoA hydrolase/transferase C-terminal domain	included
PF00583.28	Acetyltransf_1	Acetyltransferase (GNAT) family	included
PF13673.10	Acetyltransf_10	Acetyltransferase (GNAT) domain	included
PF13720.9	Acetyltransf_11	Udp N-acetylglucosamine O-acyltransferase; Domain 2	included
PF13880.9	Acetyltransf_13	ESCO1/2 acetyl-transferase	not_in_edm
PF03421.19	Acetyltransf_14	YopJ Serine/Threonine acetyltransferase	not_in_edm
PF17013.8	Acetyltransf_15	Putative acetyl-transferase	not_in_edm
PF05301.14	Acetyltransf_16	GNAT acetyltransferase, Mec-17	not_in_bgc
PF17668.4	Acetyltransf_17	Acetyltransferase (GNAT) domain	
PF18014.4	Acetyltransf_18	Acetyltransferase (GNAT) domain	
PF18015.4	Acetyltransf_19	Acetyltransferase (GNAT) domain	
PF00797.20	Acetyltransf_2	N-acetyltransferase	included
PF13302.10	Acetyltransf_3	Acetyltransferase (GNAT) domain	included
PF13420.10	Acetyltransf_4	Acetyltransferase (GNAT) domain	included
PF13444.9	Acetyltransf_5	Acetyltransferase (GNAT) domain	included
PF13480.10	Acetyltransf_6	Acetyltransferase (GNAT) domain	included
PF13508.10	Acetyltransf_7	Acetyltransferase (GNAT) domain	included
PF13523.9	Acetyltransf_8	Acetyltransferase (GNAT) domain	included
PF13527.10	Acetyltransf_9	Acetyltransferase (GNAT) domain	included
PF14542.9	Acetyltransf_CG	GCN5-related N-acetyl-transferase	included
PF08674.13	AChE_tetra	Acetylcholinesterase tetramerisation domain	not_in_bgc
PF15270.9	ACI44	Metallo-carboxypeptidase inhibitor	not_in_edm
PF03767.17	Acid_phosphat_B	HAD superfamily, subfamily IIIB (Acid phosphatase)	included
PF12689.10	Acid_PPase	Acid Phosphatase	included
PF05054.15	AcMNPV_Ac109	Autographa californica nuclear polyhedrosis virus (AcMNPV) protein	not_in_edm
PF07138.14	AcMNPV_AC11	Baculovirus protein AC11	not_in_edm
PF06648.14	AcMNPV_Ac75	Autographa californica nuclear polyhedrosis virus (AcMNPV), Ac75	not_in_edm
PF05815.14	AcMNPV_Orf101	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf101	not_in_edm
PF06856.14	AcMNPV_Orf17	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf17	not_in_edm
PF07134.14	AcMNPV_Orf18	Autographa californica nuclear polyhedrosis virus (AcMNPV), Orf18	not_in_edm
PF05081.15	AcMNPV_P18	Autographa californica nuclear polyhedrosis virus (AcMNPV), P18	not_in_edm
PF04412.16	AcnX	Aconitase X	not_in_edm
PF01989.19	AcnX_swivel_put	Aconitase X swivel domain	not_in_edm
PF00330.23	Aconitase	Aconitase family (aconitate hydratase)	included
PF06434.16	Aconitase_2_N	Aconitate hydratase 2 N-terminus	included
PF11791.11	Aconitase_B_N	Aconitate B N-terminal domain	included
PF00694.22	Aconitase_C	Aconitase C-terminal domain	included
PF01756.22	ACOX	Acyl-CoA oxidase	included
PF06857.14	ACP	Malonate decarboxylase delta subunit (MdcD)	not_in_edm
PF05777.15	Acp26Ab	Drosophila accessory gland-specific peptide 26Ab (Acp26Ab)	not_in_edm
PF06313.14	ACP53EA	Drosophila ACP53EA protein	not_in_edm
PF01648.23	ACPS	4'-phosphopantetheinyl transferase superfamily	included
PF04336.15	ACP_PD	Acyl carrier protein phosphodiesterase	included
PF08545.13	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	included
PF08541.13	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	included
PF10766.12	AcrZ	Multidrug efflux pump-associated protein AcrZ	not_in_edm
PF00873.22	ACR_tran	AcrB/AcrD/AcrF family	not_in_edm
PF19436.2	ACS_CODH_B_C	ACS/CODH beta subunit C-terminal	
PF01842.28	ACT	ACT domain	included
PF09192.13	Act-Frag_cataly	Actin-fragmin kinase, catalytic	not_in_edm
PF05058.15	ActA	ActA Protein	not_in_edm
PF11821.11	ActD	Alternative complex III, ActD subunit	not_in_edm
PF16102.8	ACTH_assoc	ACTH-associated domain	not_in_edm
PF00976.21	ACTH_domain	Corticotropin ACTH domain	not_in_edm
PF00022.22	Actin	Actin	not_in_edm
PF14408.9	Actino_peptide	Ribosomally synthesised peptide in actinomycetes	included
PF17003.8	Actin_micro	Putative actin-like family	not_in_edm
PF11657.11	Activator-TraM	Transcriptional activator TraM	not_in_edm
PF11498.11	Activator_LAG-3	Transcriptional activator LAG-3	not_in_edm
PF01064.26	Activin_recp	Activin types I and II receptor domain	not_in_bgc
PF16840.8	ACTL7A_N	Actin-like protein 7A N-terminus	not_in_edm
PF10000.12	ACT_3	ACT domain	not_in_edm
PF13291.9	ACT_4	ACT domain	not_in_edm
PF13710.9	ACT_5	ACT domain	not_in_edm
PF13740.9	ACT_6	ACT domain	not_in_edm
PF13840.9	ACT_7	ACT domain	included
PF19571.2	ACT_8	ACT domain pair	
PF18859.4	acVLRF1	Actinobacteria/chloroflexi VLRF1 release factor	
PF01643.20	Acyl-ACP_TE	Acyl-ACP thioesterase	included
PF00441.27	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	included
PF08028.14	Acyl-CoA_dh_2	Acyl-CoA dehydrogenase, C-terminal domain	included
PF12806.10	Acyl-CoA_dh_C	Acetyl-CoA dehydrogenase C-terminal like	included
PF02770.22	Acyl-CoA_dh_M	Acyl-CoA dehydrogenase, middle domain	included
PF02771.19	Acyl-CoA_dh_N	Acyl-CoA dehydrogenase, N-terminal domain	included
PF14749.9	Acyl-CoA_ox_N	Acyl-coenzyme A oxidase N-terminal	included
PF12590.11	Acyl-thio_N	Acyl-ATP thioesterase	not_in_bgc
PF12186.11	AcylCoA_dehyd_C	Acyl-CoA dehydrogenase C terminal	not_in_edm
PF12418.11	AcylCoA_DH_N	Acyl-CoA dehydrogenase N terminal	not_in_bgc
PF00708.21	Acylphosphatase	Acylphosphatase	included
PF01553.24	Acyltransferase	Acyltransferase	included
PF19576.2	Acyltransf_2	Acyltransferase	
PF16076.8	Acyltransf_C	Acyltransferase C-terminus	not_in_edm
PF02551.18	Acyl_CoA_thio	Acyl-CoA thioesterase	included
PF00698.24	Acyl_transf_1	Acyl transferase domain	included
PF02273.18	Acyl_transf_2	Acyl transferase	not_in_edm
PF01757.25	Acyl_transf_3	Acyltransferase family	included
PF18883.3	AC_1	Autochaperone Domain Type 1	
PF16214.8	AC_N	Adenylyl cyclase N-terminal extracellular and transmembrane region	not_in_edm
PF09793.12	AD	Anticodon-binding domain	not_in_edm
PF10198.12	Ada3	Histone acetyltransferases subunit 3	not_in_edm
PF16698.8	ADAM17_MPD	Membrane-proximal domain, switch, for ADAM17	not_in_edm
PF17771.4	ADAMTS_CR_2	ADAMTS cysteine-rich domain 2	
PF19236.2	ADAMTS_CR_3	ADAMTS cysteine-rich domain	
PF05986.17	ADAMTS_spacer1	ADAM-TS Spacer 1	not_in_bgc
PF08516.15	ADAM_CR	ADAM cysteine-rich	not_in_bgc
PF10199.12	Adaptin_binding	Alpha and gamma adaptin binding protein p34	not_in_edm
PF01602.23	Adaptin_N	Adaptin N terminal region	not_in_edm
PF00928.24	Adap_comp_sub	Adaptor complexes medium subunit family	not_in_edm
PF02805.19	Ada_Zn_binding	Metal binding domain of Ada	manual_discard
PF06314.14	ADC	Acetoacetate decarboxylase (ADC)	included
PF06327.17	Adcy_cons_dom	Adenylate cyclase, conserved domain	not_in_bgc
PF17981.4	ADD_ATRX	Cysteine Rich ADD domain	
PF17980.4	ADD_DNMT3	Cysteine rich ADD domain in DNMT3	
PF13382.9	Adenine_deam_C	Adenine deaminase C-terminal domain	included
PF03352.16	Adenine_glyco	Methyladenine glycosylase	included
PF04008.17	Adenosine_kin	Adenosine specific kinase	not_in_edm
PF02438.19	Adeno_100	Late 100kD protein	not_in_edm
PF03052.18	Adeno_52K	Adenoviral protein L1 52/55-kDa	not_in_edm
PF02703.17	Adeno_E1A	Early E1A protein	not_in_edm
PF01691.19	Adeno_E1B_19K	Adenovirus E1B 19K protein / small t-antigen	not_in_edm
PF01696.20	Adeno_E1B_55K	Adenovirus EB1 55K protein / large t-antigen	not_in_edm
PF04623.15	Adeno_E1B_55K_N	Adenovirus E1B protein N-terminus	not_in_edm
PF06040.14	Adeno_E3	Adenovirus E3 protein	not_in_edm
PF05248.15	Adeno_E3A	Adenovirus E3A	not_in_edm
